index,location,time,end_time,message,provenance,event_type,event_category,priority,priority_label,attributes,comment,title,notes,reported_by,state,is_contained_in,sort_at,patrol_segments,updated_at,created_at,icon_id,serial_number,url,image_url,geojson,is_collection,event_details,related_subjects,patrols
348,"{'latitude': -18.84085527361067, 'longitude': 13.412892113232573}",2025-03-19 06:54:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-30T07:58:38.743160Z,[],2025-05-30 07:58:38.743160+00:00,2025-05-30 06:55:07.377636+00:00,GPS_point_rep,28776,https://twiga.pamdas.org/api/v1.0/activity/event/a647c9f7-6e02-4074-828c-b0c540b8eb5c,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [13.412892113232573, -18.84085527361067]}, 'properties': {'message': '', 'datetime': '2025-03-19T06:54:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_action': 'deactivated', 'unitupdate_unitid': 'cd2baef5-7d32-487c-8c9d-2776138c25e3', 'unitupdate_subject': '641a1c49-2edb-457c-a306-634a0beca8ec', 'updates': []}",[],[]
347,"{'latitude': -19.256815384887076, 'longitude': 15.217446263107803}",2025-03-19 06:56:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-30T07:58:38.958671Z,[],2025-05-30 07:58:38.958671+00:00,2025-05-30 06:56:44.094334+00:00,GPS_point_rep,28777,https://twiga.pamdas.org/api/v1.0/activity/event/cd351b3b-ffc6-4e1c-8eb2-4c645a384675,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [15.217446263107803, -19.256815384887076]}, 'properties': {'message': '', 'datetime': '2025-03-19T06:56:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_action': 'deactivated', 'unitupdate_unitid': 'b7c3aa7f-384d-4728-b3e3-0809ff5f5d99', 'unitupdate_subject': '528b2098-c861-4ddc-b7c1-6473dbe6c1db', 'updates': []}",[],[]
372,"{'latitude': -18.82421054837097, 'longitude': 27.060410312554268}",2025-03-27 08:30:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:35:07.981728Z,[],2025-05-29 09:35:07.981728+00:00,2025-05-29 08:32:24.435276+00:00,GPS_point_rep,28749,https://twiga.pamdas.org/api/v1.0/activity/event/021e4267-882f-4017-b4e2-5084ecfde55b,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [27.060410312554268, -18.82421054837097]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:30:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '8de4489e-3182-4320-ad74-eb8b4bc79878', 'unitupdate_subject': '1c34f2f3-ea1e-40cf-8442-deac2c135291', 'updates': []}",[],[]
371,"{'latitude': -18.798962564973294, 'longitude': 26.896115236736904}",2025-03-27 08:33:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:35:08.160771Z,[],2025-05-29 09:35:08.160771+00:00,2025-05-29 08:33:52.794709+00:00,GPS_point_rep,28750,https://twiga.pamdas.org/api/v1.0/activity/event/670d63df-2c9e-4cf2-afd9-404776721036,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.896115236736904, -18.798962564973294]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:33:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '300058b0-0673-486f-8450-9a0a4bfd3f07', 'unitupdate_subject': '61c9b8da-08f1-469d-ab04-727db062d5d0', 'updates': []}",[],[]
370,"{'latitude': -18.819690614336068, 'longitude': 26.926270340127218}",2025-03-27 08:35:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:40:07.991380Z,[],2025-05-29 09:40:07.991380+00:00,2025-05-29 08:36:03.130213+00:00,GPS_point_rep,28751,https://twiga.pamdas.org/api/v1.0/activity/event/f822fd9d-5aed-4457-9cdf-b321c4006de1,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.926270340127218, -18.819690614336068]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:35:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '47874526-299f-4a14-882f-b9c150cca5dd', 'unitupdate_subject': 'd2898465-cd2f-4239-bc0c-8f9b61da8a80', 'updates': []}",[],[]
369,"{'latitude': -18.81503513419314, 'longitude': 26.869690852369388}",2025-03-27 08:36:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:40:08.077756Z,[],2025-05-29 09:40:08.077756+00:00,2025-05-29 08:36:53.286501+00:00,GPS_point_rep,28752,https://twiga.pamdas.org/api/v1.0/activity/event/dee16621-33f9-4fe1-b06f-0a26dd09ec6f,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.869690852369388, -18.81503513419314]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:36:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '20b4ea0e-4afa-4274-b19e-3368edf687f2', 'unitupdate_subject': 'c0f49807-a14f-4a06-94ce-1c13283ec31f', 'updates': []}",[],[]
368,"{'latitude': -18.831945968231437, 'longitude': 27.034547025036403}",2025-03-27 08:37:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:40:08.139979Z,[],2025-05-29 09:40:08.139979+00:00,2025-05-29 08:38:37.120745+00:00,GPS_point_rep,28753,https://twiga.pamdas.org/api/v1.0/activity/event/56d9aa16-e41d-493f-9301-a8618ab00794,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [27.034547025036403, -18.831945968231437]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:37:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '59a703eb-1a9c-43b5-be11-6254324d0098', 'unitupdate_subject': '13db85a4-3bd6-4bcb-901b-d5452279aaed', 'updates': []}",[],[]
367,"{'latitude': -18.782297471885613, 'longitude': 26.947123829465596}",2025-03-27 08:39:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:40:08.224285Z,[],2025-05-29 09:40:08.224285+00:00,2025-05-29 08:39:38.243145+00:00,GPS_point_rep,28754,https://twiga.pamdas.org/api/v1.0/activity/event/83e3ae00-a34b-4ad6-b812-ef68c153a1aa,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.947123829465596, -18.782297471885613]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:39:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '7a8f29c4-3d95-4e2b-b030-00a791e88e35', 'unitupdate_subject': '142f4edd-8afc-4b53-bdb7-1b7eaf731cae', 'updates': []}",[],[]
366,"{'latitude': -18.798643510514182, 'longitude': 26.938124328664856}",2025-03-27 08:41:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:45:07.956252Z,[],2025-05-29 09:45:07.956252+00:00,2025-05-29 08:42:06.171979+00:00,GPS_point_rep,28755,https://twiga.pamdas.org/api/v1.0/activity/event/f50182f2-b4f0-49e8-8956-a01f06ca3233,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.938124328664856, -18.798643510514182]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:41:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '81539e53-8c84-4278-86e3-0e723d2d3d03', 'unitupdate_subject': '255b9a80-d30a-4f2d-9ffe-3b404ab0273e', 'updates': []}",[],[]
365,"{'latitude': -18.93299003084165, 'longitude': 27.06346787341832}",2025-03-27 08:42:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:45:08.106689Z,[],2025-05-29 09:45:08.106689+00:00,2025-05-29 08:43:11.627408+00:00,GPS_point_rep,28756,https://twiga.pamdas.org/api/v1.0/activity/event/a3a6ab87-e93b-4b59-acf4-03565a7627d1,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [27.06346787341832, -18.93299003084165]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:42:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '6b7e6481-cb8a-4cde-ad5d-8d264f65c9b8', 'unitupdate_subject': '30fd794f-39cd-4117-8d06-f33e560da89d', 'updates': []}",[],[]
364,"{'latitude': -18.926149546705872, 'longitude': 27.034881897709795}",2025-03-27 08:43:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:45:08.591626Z,[],2025-05-29 09:45:08.591626+00:00,2025-05-29 08:44:11.905787+00:00,GPS_point_rep,28757,https://twiga.pamdas.org/api/v1.0/activity/event/139567f3-2303-4e58-8aa7-2871e479ea44,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [27.034881897709795, -18.926149546705872]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:43:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '431f7150-a460-40c2-812a-2c076e8acef7', 'unitupdate_subject': '31e8baba-eaaa-4baf-9fae-0fbfc99b6608', 'updates': []}",[],[]
363,"{'latitude': -18.920892290957667, 'longitude': 27.01820078223662}",2025-03-27 08:45:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:50:08.043719Z,[],2025-05-29 09:50:08.043719+00:00,2025-05-29 08:45:48.421126+00:00,GPS_point_rep,28758,https://twiga.pamdas.org/api/v1.0/activity/event/ce7b0433-7b43-4207-a91d-25c552cca79f,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [27.01820078223662, -18.920892290957667]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:45:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': 'b73d8586-a4d4-4734-b364-7b125de2298a', 'unitupdate_subject': '41457ffc-609b-4722-882c-f132719060e4', 'updates': []}",[],[]
362,"{'latitude': -18.750778448947344, 'longitude': 26.777280673950685}",2025-03-27 08:46:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:50:08.245517Z,[],2025-05-29 09:50:08.245517+00:00,2025-05-29 08:46:58.557357+00:00,GPS_point_rep,28759,https://twiga.pamdas.org/api/v1.0/activity/event/5a4c503b-1785-48a5-aace-956a224e384e,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.777280673950685, -18.750778448947344]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:46:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': '9dcc2421-11f0-4bdd-b1f8-987b252e2c47', 'unitupdate_subject': '44f40a38-8f96-433e-aae4-f83a3ab56f28', 'updates': []}",[],[]
361,"{'latitude': -19.015304994137637, 'longitude': 26.946355001886644}",2025-03-27 08:47:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:50:08.352013Z,[],2025-05-29 09:50:08.352013+00:00,2025-05-29 08:47:57.212265+00:00,GPS_point_rep,28760,https://twiga.pamdas.org/api/v1.0/activity/event/8b55208f-8238-481a-a7f8-6fe15a0e5d4c,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.946355001886644, -19.015304994137637]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:47:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': 'ae316af2-5f8b-446c-ae1f-c2f02a026bcc', 'unitupdate_subject': '4ac753b9-8593-491e-9ed6-e385cd32d2d4', 'updates': []}",[],[]
360,"{'latitude': -19.08319220911271, 'longitude': 26.926447547454643}",2025-03-27 08:48:00+00:00,,,,unit_update,monitoring,200,Amber,{},,,[],"{'content_type': 'observations.subject', 'id': '83060b69-2bb7-449a-8972-3ed44099c5ee', 'name': 'CMarneweck', 'subject_type': 'person', 'subject_subtype': 'ranger', 'common_name': None, 'additional': {'rgb': '', 'sex': '', 'region': '', 'country': '', 'external_id': '', 'tm_animal_id': '', 'external_name': ''}, 'created_at': '2023-06-27T12:32:52.775999Z', 'updated_at': '2023-07-10T08:32:55.675920Z', 'is_active': True, 'user': None, 'region': '', 'country': '', 'sex': '', 'tracks_available': False, 'image_url': '/static/ranger-black.svg'}",resolved,[],2025-05-29T09:50:08.474861Z,[],2025-05-29 09:50:08.474861+00:00,2025-05-29 08:48:53.512974+00:00,GPS_point_rep,28761,https://twiga.pamdas.org/api/v1.0/activity/event/786f06fe-1cf8-4e25-b244-dcc3b3ce0b04,https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg,"{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [26.926447547454643, -19.08319220911271]}, 'properties': {'message': '', 'datetime': '2025-03-27T08:48:00+00:00', 'image': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'icon': {'iconUrl': 'https://twiga.pamdas.org/static/sprite-src/GPS_point_rep.svg', 'iconSize': [25, 25], 'iconAncor': [12, 12], 'popupAncor': [0, -13], 'className': 'dot'}}}",False,"{'unitupdate_notes': 'ZWE_Hwange', 'unitupdate_action': 'deactivated', 'unitupdate_unitid': 'd1c13464-4b57-4167-ba13-c33841632ce1', 'unitupdate_subject': '4f877d93-7bff-46f4-b881-de28028d66eb', 'updates': []}",[],[]
